,price,p,pos,strat_eq,bh_eq
1982-01-04,195.53,0.3423638196855784,1,1.0,1.0
1982-01-05,192.33,0.3423638196855784,1,0.9836342249271213,0.9836342249271213
1982-01-06,191.15,0.3384083045840264,1,0.9775993453689971,0.9775993453689971
1982-01-07,191.02,0.3429075295299292,1,0.9769344857566614,0.9769344857566614
1982-01-08,192.05,0.3410817386776209,1,0.9822022196082442,0.9822022196082442
1982-01-11,188.8,0.3429075295299292,1,0.9655807292998516,0.9655807292998516
1982-01-12,187.32,0.3617672017157078,1,0.958011558328645,0.958011558328645
1982-01-13,185.73,0.3617672017157078,1,0.9498798138393084,0.9498798138393084
1982-01-14,185.89,0.35939313282370566,1,0.9506981025929524,0.9506981025929524
1982-01-15,187.32,0.3617894491493702,1,0.9580115583286452,0.9580115583286452
1982-01-18,187.21,0.3536966424167156,1,0.957448984810515,0.957448984810515
1982-01-19,186.16,0.36227924472987655,1,0.9520789648647265,0.9520789648647265
1982-01-20,185.72,0.3536871662095189,1,0.9498286707922058,0.9498286707922058
1982-01-21,186.4,0.3536871662095189,1,0.9533063979951927,0.9533063979951927
1982-01-22,185.83,0.3548096287727356,1,0.9503912443103362,0.9503912443103362
1982-01-25,183.52,0.35402276178002356,1,0.9385772004296018,0.9385772004296018
1982-01-26,183.41,0.35402276178002356,1,0.9380146269114715,0.9380146269114715
1982-01-27,183.57,0.3545302599400282,1,0.9388329156651155,0.9388329156651155
1982-01-28,186.22,0.3531671203404665,1,0.9523858231473434,0.9523858231473434
1982-01-29,188.39,0.35296287943720817,1,0.9634838643686394,0.9634838643686394
1982-02-01,186.82,0.35270233915299176,1,0.9554544059735083,0.9554544059735083
1982-02-02,187.46,0.35309123431444167,1,0.9587275609880841,0.9587275609880841
1982-02-03,187.43,0.35309123431444167,1,0.9585741318467758,0.9585741318467758
1982-02-04,187.14,0.35309123431444167,1,0.957090983480796,0.957090983480796
1982-02-05,188.21,0.35309123431444167,1,0.96256328952079,0.96256328952079
1982-02-08,184.63,0.35383144297748803,1,0.9442540786580067,0.9442540786580067
1982-02-09,182.51,0.35356480346173047,1,0.9334117526722244,0.9334117526722244
1982-02-10,182.97,0.35356480346173047,1,0.9357643328389508,0.9357643328389508
